Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.55,36.6,24.3,24.3,Meas A,0,0,De=1st Ex=Top Em=Top,1,6/4/2025 9:39:55 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,,426,373,410,423,419,362,421,378,433,403,,
B,,434,408,423,401,412,377,441,453,396,440,,
C,,470,424,415,420,451,471,382,509,508,430,,
D,,383,366,456,372,538,430,383,412,493,447,,
E,,460,425,453,439,446,398,387,421,394,,,
F,,407,405,384,395,455,510,459,452,422,,,
G,,360,500,479,395,382,460,444,392,438,,,
H,,479,452,401,422,410,428,446,435,479,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.55,36.6,24.3,24.3,Meas B,0,0,De=1st Ex=Btm Em=N/A,1,6/4/2025 9:39:55 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas B,0,32513,10,00:00:00.000,De=1st Ex=Btm Em=N/A,

Results for Meas B -  (A)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,,0.0450,0.0440,0.0430,0.0450,0.0430,0.0420,0.0440,0.0440,0.0450,0.0390,,
B,,0.0430,0.0450,0.0430,0.0440,0.0450,0.0430,0.0430,0.0440,0.0440,0.0390,,
C,,0.0450,0.0410,0.0410,0.0410,0.0400,0.0400,0.0420,0.0430,0.0410,0.0410,,
D,,0.0440,0.0440,0.0440,0.0430,0.0420,0.0410,0.0440,0.0440,0.0450,0.0380,,
E,,0.0430,0.0430,0.0420,0.0430,0.0410,0.0430,0.0410,0.0420,0.0430,,,
F,,0.0460,0.0450,0.0450,0.0440,0.0430,0.0510,0.0430,0.0460,0.0450,,,
G,,0.0430,0.0430,0.0430,0.0440,0.0450,0.0460,0.0430,0.0470,0.0440,,,
H,,0.0450,0.0480,0.0470,0.0450,0.0450,0.0490,0.0470,0.0470,0.0490,,,


Basic assay information 
Assay ID: ,,,,11940
Assay Started: ,,,,6/4/2025 9:37:46 AM
Assay Finished: ,,,,6/4/2025 9:40:06 AM
Assay Exported: ,,,,6/4/2025 9:40:08 AM
Assay Started By: ,,,,N/A
Protocol ID: ,,,,100242
Protocol Name: ,,,,1time-mScarlet-DO NOT MODIFY IF ITS NOT YOURS
Serial#: ,,,,="23000566"



Protocol information
Protocol:
Protocol name,,,,1time-mScarlet-DO NOT MODIFY IF ITS NOT YOURS
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Mode of measurement,,,,By Rows
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,96 General
Number of rows,,,,8
Number of columns,,,,12
Number of the wells in the plate,,,,96
Height of the plate,,,,14.35 mm
Diameter of the well,,,,6.5 mm
Volume of the well,,,,300 µl
Optimized,,,,N/A

Coordinates of corners:
96 General
14.38 mm x------------------------------------------------------ x 113.38 mm
11.24 mm                                                           11.24 mm

14.38 mm x------------------------------------------------------ x 113.38 mm
74.24 mm                                                           74.24 mm

Platemap:
Plate,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,
A,     ,UNK2 ,UNK3 ,UNK4 ,UNK5 ,UNK6 ,UNK7 ,UNK8 ,UNK9 ,UNK10,UNK74,     
B,     ,UNK11,UNK12,UNK13,UNK14,UNK15,UNK16,UNK17,UNK18,UNK19,UNK75,     
C,     ,UNK20,UNK21,UNK22,UNK23,UNK24,UNK25,UNK26,UNK27,UNK28,UNK76,     
D,     ,UNK29,UNK30,UNK31,UNK32,UNK33,UNK34,UNK35,UNK36,UNK37,UNK77,     
E,     ,UNK38,UNK39,UNK40,UNK41,UNK42,UNK43,UNK44,UNK45,UNK46,     ,     
F,     ,UNK47,UNK48,UNK49,UNK50,UNK51,UNK52,UNK53,UNK54,UNK55,     ,     
G,     ,UNK56,UNK57,UNK58,UNK59,UNK60,UNK61,UNK62,UNK63,UNK64,     ,     
H,     ,UNK65,UNK66,UNK67,UNK68,UNK69,UNK70,UNK71,UNK72,UNK73,     ,     

 UNK - Unknown

Calculations:
No calculations.

Auto export parameters:
Export format,,,,Plate5
Picture,,,,No
Add plate number to the file name,,,,Yes
Each plate to separate file,,,,No
Field separator to use,,,,System
File name format,,,,<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv
Exported data,,,,MeasA:Result MeasB:Result

Operations:
Plate 1
  Measurement
    Meas,,,,A
    Tech,,,,Fluorescence
  Measurement
    Meas,,,,B
    Tech,,,,Absorbance

Measurements:
Meas ,,,,A
Exc. filter,,,,N/A
Using of excitation filter,,,,Top
Excitation wavelength,,,,569 nm
Emission wavelength,,,,594 nm
Measurement height,,,,10.8 mm
Number of flashes,,,,500
Number of flashes integrated,,,,500
Flash power,,,,100 %
Excitation light,,,,100%
Reference excitation light,,,,100%
